x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,y
1,0.21491189800399935,0,0.12341087224848363,0.6297094190723023,0.23154519681245828,0.9395641058306894,1,0.545201529265801,0.029856007508739003,0.013521757968245576,1,0.9704598972686742,0.02692353952668485,0,0.05126851469694885,1,0.05373409698598423,0.945882601373498,0,0,0.38665830694080483,0.8377225915837542,1,0.29295508668273273,0.27968680165195997,0.9205314043471703,0.7106040324815572,0.8632746505470987,0,1,0.3024962056750803,0.2802280904563195,0.09986737295653232,0.9966267893702809,0
0.6474607335892988,1,0.2924641147248768,0.9903795931962645,1,0.9446881712829085,0.20876648357974134,0,0.738313701034172,0.908408321991887,1,0.7631919023553507,0,1,0.9787255909552837,0.8331545638751011,1,0.3396148978142165,0.9876741267846876,0.6683774145362495,1,1,0,1,0.9463101138918663,1,0.9888194963626388,0,1,1,1,0,0,0.030404055830966628,0.7737009956181407,1
0.8431018061337365,0.0911705440384388,0.03281989046730072,0.10315512032750085,1,0,1,1,1,0.5150827440126775,0.6777454316106,0.867820867176512,0.9304751067671909,1,0,1,1,0.8154605825679108,0.08672383233655737,0.8586794399355449,1,1,0,1,1,1,0,0.789833911532111,0.9522221894388964,0.8459925575706128,0,0.163331918280857,0.016661722293207438,0,0,2
1,0.016141690264383866,0.20605908626819736,0.03510789951880627,1,0.1535255924664628,0.8944339329200326,0.7230222780507,0.9181915075281104,0.01980328844956809,0.7464406919231643,1,0.8531505204709429,0.8675447220002223,0.23092187403936176,1,0.8464002577964914,0,0,0.8602721295159521,0.8784895719976202,1,0.6322155555249831,0.9783554696055607,0.2699934547004445,0,0.5068897607840295,0.6525115007696651,1,0,1,0.03671914419028244,0.1252774957971052,0.07550555852731106,1,3
0.7791733685318923,1,0.5629237963382073,0.05701847651644076,0.7694801105581635,1,0.8045666935353017,0.00989715273391532,0,1,0.8817985139477346,0,1,0,0.7269907307580253,0.1575544358699289,0.9305871691542438,1,0.029530249737847188,1,0,0,0,0.014316587954433814,0.06627365808101408,0.9511754387948748,1,0.6934903886011121,0.05992407206679824,0.91254767471004,1,0.84357023127742,1,0.1104047660856567,1,4
0,0.0813173941232838,0,0,0.3376151221348869,0,0.8962334481991437,1,1,0.6775358678438448,0.041221728628050264,0,0,0.26193118401254945,0.9407566596438277,0.7670812310125801,1,0.7776182248951822,0.9411768669519057,0.2839231055014679,1,0.9266011802250517,0.6058820321094165,1,0,0.11964282241282326,0.9357029211090162,0.5599739483811441,1,0,0.8695573344306537,0,0.09396591244632174,0,1,5
1,0.9301806080744054,0,0,1,0.8970489230894586,0.09024306185439593,0.7694467734680702,0.9907879765574417,0.9733960475803672,0.10601377929354781,1,1,0.9646099694177521,1,0.1744467547469415,0,0.42024949359005453,0.1687163997717074,0.9020073723711963,0.04806680133449197,0.7574906304387565,1,0.8532507029716995,0.20868678109548236,0,0.8833196973485833,1,1,0,0.7966742789195396,0,0,0.08872027374845416,1,6
0.03996392068613041,0.24444544438479127,0.24012257624673572,0,0,0.5681792623209674,1,0.22193100792558862,1,0,1,1,1,0,0.8128625180231486,1,0.8641505818837537,0.10534880835403877,1,0.9098138887506869,0.9613874271960665,0.20402106305350565,1,1,0.6122845198889171,0.8652737021325503,0,0.698354488408955,0.9530452892141009,0.9853358891990038,0.8791115401331531,0.035792747307072034,0.7431304309359805,0.8340177445732053,1,7
1,0,0,0,0.7188746378161032,0.24622239079843192,1,0.9578252810051362,0.8141912880097474,0,0.190907309102745,0.8934034239395592,0.9439299566890971,1,0.08127420278799109,1,0,0.09088698783282503,0.1268681980624638,1,0.057948847346515855,1,0.9236506166614988,1,0.15915658991791015,0,0.9721220335287853,1,0.8312631837471405,0,1,0.2863259581168282,0,0,0.9698557196579547,8
0.8520878237331175,0.3348772605460536,0.2759674459389497,0.12796464367256047,1,0,0.9973531219036049,0.9488375524698279,0.9317868951711569,0.025477855705374582,0.2616932433237813,1,1,0.9838612275266819,0.04381838389472059,0.7475672470254364,0.06490165016602417,0.13776756391351494,0,0,0.4400794494035344,1,0.8104310922327772,0.9749834291329911,0.018489241941461024,0.5073383063074182,1,0.7494150923791536,0,1,0.9261953678359935,0.009724639466342735,0,0.8430675508704835,0.8821262340712417,9
